ID,correct,base_model,ble,3-shot,6-shot,12-shot,ds
223,left,left,left,left,left,left,center
224,center,left,left,left,left,left,left
225,right,left,left,left,left,left,left
226,right,right,right,right,right,right,right
227,center,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain
228,left,left,left,left,left,left,left
229,right,left,left,left,left,left,left
230,left,left,left,left,left,left,left
231,right,right,right,right,right,right,right
232,center,left,left,left,left,left,left
233,left,left,left,left,left,left,left
234,left,left,left,left,left,left,left
235,center,left,left,left,left,left,left
236,right,left,left,left,left,left,left
237,left,left,left,left,left,left,center
238,right,right,right,right,right,right,right
239,right,left,left,left,left,left,right
240,left,left,left,left,left,left,left
241,right,center,uncertain,center,center,center,center
242,center,center,center,center,center,center,center
243,center,left,uncertain,left,center,left,uncertain
244,right,left,uncertain,uncertain,left,left,left
245,center,right,right,right,right,right,right
246,left,right,right,right,right,right,right
247,right,right,right,right,right,right,right
248,right,right,right,right,right,right,right
249,left,right,right,right,right,right,right
250,right,right,right,right,right,right,right
251,center,right,right,right,right,right,right
252,left,right,right,right,right,right,right
253,left,left,left,left,left,left,left
254,right,right,right,right,right,right,right
255,center,right,right,right,right,right,right
256,left,right,right,right,right,right,right
257,right,left,left,left,left,left,center
258,right,right,center,left,left,left,right
259,center,right,right,left,left,left,right
260,right,right,right,right,right,right,right
261,left,right,uncertain,uncertain,right,center,uncertain
262,center,right,uncertain,right,right,right,right
263,right,left,left,left,left,left,left
264,center,left,uncertain,left,left,left,left
265,left,left,left,left,left,left,left
266,center,left,left,left,left,left,left
267,left,left,left,left,left,left,left
268,right,right,right,right,right,right,right
269,right,center,center,center,center,center,center
270,left,center,center,center,center,left,center
271,left,right,right,right,right,right,right
272,right,right,right,right,right,right,right
273,center,right,right,right,right,right,right
274,left,left,left,left,left,left,left
275,center,left,left,left,left,left,left
276,right,left,left,left,left,left,left
277,right,right,right,right,right,right,right
278,left,left,left,left,left,left,left
279,center,right,right,right,right,right,right
280,right,right,right,right,right,right,right
281,left,left,right,left,left,left,right
282,center,right,right,right,right,right,right
283,right,right,right,right,right,right,right
284,right,left,left,left,left,left,right
285,center,left,center,uncertain,left,left,left
286,left,right,left,right,right,left,right
287,left,left,left,left,left,left,center
288,right,right,right,right,right,right,right
289,left,left,left,left,left,left,left
290,right,right,right,right,right,right,right
291,left,left,left,left,left,left,left
292,center,right,right,right,right,right,right
293,right,left,left,left,left,left,left
294,left,right,right,right,right,right,right
295,left,left,left,left,left,left,left
296,center,left,left,left,left,left,left
297,right,left,left,left,left,right,left
298,right,right,right,right,right,right,right
299,left,right,right,right,right,right,right
300,right,right,right,right,right,right,right
301,center,right,right,right,right,right,right
302,center,center,uncertain,uncertain,center,center,center
303,left,left,center,left,left,left,left
304,right,center,center,center,center,center,center
305,right,right,right,right,right,right,right
306,center,left,right,left,left,left,left
307,left,left,left,left,left,left,left
308,left,left,uncertain,left,left,left,uncertain
309,right,uncertain,uncertain,uncertain,center,left,uncertain
310,right,right,right,right,right,right,right
311,left,left,right,left,left,left,left
312,right,right,right,right,right,right,right
313,left,left,left,left,left,left,left
314,center,right,right,right,right,right,right
315,right,right,right,right,right,right,right
316,center,right,right,right,right,right,right
317,right,right,right,right,right,right,right
318,left,right,right,right,right,right,right
319,right,left,left,left,left,left,left
320,left,left,left,left,left,left,left
321,center,left,left,left,left,left,left
322,center,right,right,right,right,right,right
323,right,right,right,right,right,right,right
324,left,right,right,right,right,right,right
325,center,right,right,right,right,right,right
326,right,right,right,right,right,right,right
327,left,right,left,right,right,left,right
328,center,right,right,right,right,right,right
329,right,right,right,right,right,right,right
330,left,left,left,left,left,left,left
331,right,left,left,left,left,left,left
332,center,left,left,left,left,left,left
333,right,right,right,right,right,right,right
334,left,right,right,right,right,right,right
335,right,right,right,right,right,right,right
336,center,right,right,right,right,right,right
337,left,right,right,right,right,right,right
338,center,right,right,right,right,right,right
339,right,right,right,right,right,right,right
340,left,left,left,left,left,left,left
341,left,left,left,left,left,left,left
342,right,right,right,right,right,right,right
343,right,right,right,right,right,right,right
344,left,right,right,right,left,left,right
345,center,right,right,right,right,right,right
346,right,right,right,right,right,right,right
347,center,right,right,right,right,right,right
348,left,right,right,right,right,right,right
349,center,right,right,right,right,right,right
350,right,right,uncertain,right,right,right,right
351,left,right,uncertain,uncertain,center,right,uncertain
352,right,left,left,left,left,left,left
353,left,left,left,left,left,left,left
354,right,left,left,left,left,left,left
355,center,left,left,left,left,left,left
356,center,left,left,left,left,left,center
357,right,center,center,center,center,center,center
358,left,left,left,left,left,left,left
359,left,center,center,center,center,center,center
360,center,center,center,center,center,center,center
361,right,center,center,center,center,center,center
362,left,left,left,left,left,left,center
363,center,left,left,left,left,left,left
364,left,left,left,left,left,left,left
365,right,right,left,left,left,left,left
366,left,right,right,right,right,right,right
367,center,right,uncertain,right,right,uncertain,right
368,right,right,right,right,center,right,right
369,center,center,uncertain,uncertain,center,center,center
370,left,right,right,right,right,right,uncertain
371,right,right,right,right,right,right,right
372,right,right,right,right,right,right,right
373,center,right,right,right,right,right,right
374,left,right,right,right,right,right,right
375,left,left,left,left,left,left,left
376,right,left,left,left,left,left,left
377,center,left,left,left,left,left,left
378,center,right,right,right,right,right,right
379,right,left,left,right,left,left,left
380,left,left,left,left,left,left,left
381,right,right,right,right,right,right,right
382,left,left,right,left,left,left,left
383,center,uncertain,uncertain,uncertain,center,center,uncertain
384,left,center,center,center,left,left,center
385,right,right,uncertain,right,center,right,right
386,right,right,right,right,right,right,right
387,center,right,right,right,right,right,right
388,left,center,center,center,center,center,center
389,left,right,right,right,right,right,right
390,right,right,right,right,center,center,right
391,center,left,left,left,left,left,left
392,right,right,right,right,right,right,right
393,left,left,left,left,left,left,left
394,right,left,left,left,left,left,left
395,left,left,left,left,left,left,left
396,right,right,right,right,right,right,right
397,left,left,right,left,left,left,right
398,center,left,left,left,left,left,left
399,center,right,right,right,right,right,right
400,right,right,right,right,right,right,right
401,center,left,left,right,right,left,right
402,right,right,right,center,center,center,right
403,right,right,uncertain,right,right,right,right
404,center,center,center,left,center,left,center
405,left,left,uncertain,left,left,left,left
406,center,left,left,left,left,left,left
407,right,left,left,left,left,left,left
408,left,center,uncertain,center,center,center,center
409,right,center,uncertain,center,center,center,center
410,center,center,center,center,center,center,center
411,left,right,right,right,right,right,right
412,center,right,right,right,right,right,right
413,right,right,right,right,right,right,right
414,center,left,left,left,left,left,left
415,left,left,left,uncertain,left,left,uncertain
416,right,center,uncertain,center,center,center,center
417,right,right,right,right,right,right,right
418,left,left,right,left,left,left,left
419,center,right,right,right,right,right,right
420,center,left,right,right,right,right,right
421,right,right,right,right,right,right,right
422,left,left,left,left,left,left,left
423,left,left,right,left,left,left,left
424,center,right,right,left,left,left,right
425,right,right,right,right,right,right,right
426,left,left,left,left,left,left,left
427,center,right,right,right,right,right,right
428,right,right,right,right,right,right,right
429,right,right,right,right,right,right,right
430,center,right,right,right,right,right,right
431,right,left,left,left,left,left,left
432,center,left,center,left,left,left,left
433,left,left,left,left,left,left,left
434,left,right,right,right,right,right,right
435,right,right,right,right,right,right,right
436,left,center,center,center,center,center,center
437,right,center,center,center,center,center,center
438,center,center,center,center,center,center,center
439,right,right,center,right,right,center,center
440,center,right,center,center,center,center,center
441,right,right,right,right,right,right,right
442,center,right,right,right,right,right,right
443,left,right,right,right,right,right,right
444,center,left,left,left,left,left,left
445,left,left,left,left,left,left,left
446,right,left,left,left,left,left,left
447,center,right,right,right,right,right,right
448,right,right,right,right,right,right,right
449,right,right,right,right,right,right,right
450,center,left,left,left,left,left,left
451,left,left,left,left,left,left,left
452,right,left,left,left,left,left,left
453,left,center,center,center,center,center,center
454,right,right,right,right,right,right,right
455,center,right,right,right,right,right,right
456,right,right,right,right,right,right,right
457,left,left,right,right,left,left,right
458,left,left,left,left,left,left,left
459,right,left,left,left,left,left,left
460,center,right,right,right,right,right,right
461,right,right,right,right,right,right,center
462,left,right,right,right,right,right,right
463,right,right,center,right,right,right,right
464,left,right,left,left,left,left,uncertain
465,center,right,right,right,left,right,right
466,center,left,left,left,left,left,right
467,left,left,left,left,left,left,left
468,right,left,left,left,left,left,left
469,right,right,right,right,right,right,right
470,left,right,right,right,right,right,right
471,left,left,left,left,left,left,left
472,left,left,left,left,left,left,left
473,right,left,left,left,left,left,left
474,center,left,left,left,left,left,left
475,right,right,right,right,right,right,right
476,left,right,right,right,right,right,right
477,center,left,left,left,left,left,right
478,left,right,right,right,right,right,right
479,right,right,right,right,right,right,right
480,center,right,right,right,right,right,right
481,right,right,right,right,right,right,right
482,center,right,right,right,right,right,right
483,left,right,right,right,right,right,right
484,center,right,right,right,right,right,right
485,right,right,right,right,right,right,right
486,right,right,right,right,right,right,right
487,left,left,left,left,left,left,left
488,center,left,left,left,left,left,left
489,right,right,uncertain,right,left,right,center
490,right,center,center,center,center,center,center
491,center,center,center,center,center,center,center
492,left,center,center,center,center,center,center
493,center,left,left,left,left,left,left
494,right,right,right,right,right,right,right
495,left,left,left,left,left,left,left
496,left,left,left,right,right,right,right
497,right,right,right,right,right,right,right
498,center,right,right,right,right,right,right
499,right,right,right,right,right,right,right
500,center,left,uncertain,uncertain,uncertain,left,uncertain
501,left,center,uncertain,uncertain,center,uncertain,center
502,left,left,left,left,left,left,left
503,right,right,right,right,right,right,right
504,center,left,left,left,left,left,center
505,right,right,right,right,right,right,right
506,left,left,left,left,left,left,left
507,right,center,center,center,center,center,center
508,left,center,center,center,center,center,center
509,right,right,right,right,right,right,right
510,center,right,right,right,right,right,right
511,right,right,right,right,right,right,right
512,center,right,right,right,right,right,right
513,right,right,right,right,right,right,right
514,left,right,right,right,left,left,right
515,left,left,left,left,left,left,left
516,right,right,right,right,right,right,right
517,left,left,left,left,left,left,left
518,center,left,left,left,left,left,left
519,right,right,right,right,right,right,right
520,center,right,right,right,right,right,right
521,left,left,left,left,left,left,left
522,right,right,right,right,right,right,right
523,center,left,left,left,left,left,left
524,left,left,left,left,left,left,left
525,left,center,center,center,center,center,center
526,center,center,center,center,center,center,center
527,right,center,center,center,center,center,center
528,right,right,right,right,right,right,right
529,left,left,left,left,left,left,left
530,center,center,center,center,center,center,center
531,right,center,center,center,center,center,center
532,left,left,left,left,left,left,left
533,right,right,right,right,right,right,right
534,center,center,uncertain,right,right,right,uncertain
535,center,left,center,center,left,left,left
536,left,right,right,right,right,right,right
537,right,right,right,right,right,right,right
538,right,right,right,right,right,right,right
539,left,left,left,left,left,left,right
540,center,right,right,right,right,right,right
541,left,right,right,right,right,right,right
542,right,right,center,right,center,center,right
543,left,right,uncertain,right,left,left,right
544,right,right,right,right,right,right,right
545,right,right,right,right,right,right,right
546,center,right,right,right,right,right,right
547,left,left,left,left,left,left,left
548,center,right,right,right,right,left,right
549,right,right,right,right,right,right,right
550,left,center,uncertain,center,center,center,center
551,center,left,uncertain,uncertain,uncertain,left,left
552,right,right,uncertain,uncertain,right,right,uncertain
553,right,right,right,right,right,right,right
554,center,right,right,right,right,right,right
555,left,left,left,left,left,left,left
556,right,right,right,right,right,right,right
557,left,left,left,left,left,left,left
558,center,right,right,right,right,right,right
559,center,left,center,left,left,left,center
560,right,center,center,center,center,center,center
561,right,left,right,right,center,left,right
562,center,right,right,right,right,right,right
563,left,center,left,right,left,left,center
564,left,center,center,center,center,center,center
565,right,right,uncertain,right,center,right,right
566,center,center,left,center,center,left,center
567,right,left,left,left,left,left,left
568,right,right,right,right,right,right,right
569,left,left,right,left,left,left,left
570,right,right,right,right,right,right,right
571,right,right,right,right,right,right,right
572,left,right,right,right,right,right,right
573,center,right,right,right,right,right,right
574,right,right,right,right,right,right,right
575,left,left,left,left,left,left,left
576,center,left,left,left,left,left,left
577,right,right,right,right,right,right,right
578,right,right,right,right,right,right,right
579,left,right,right,right,right,right,right
580,left,right,right,right,right,right,right
581,left,right,right,right,right,right,right
582,right,right,right,right,right,right,right
583,right,left,left,left,left,left,left
584,center,left,left,left,left,left,left
585,left,right,right,right,right,right,right
586,right,right,right,right,right,right,right
587,left,right,right,right,left,left,right
588,left,center,uncertain,center,center,center,center
589,center,center,center,center,center,center,center
590,right,center,center,center,center,center,center
591,right,left,right,right,left,left,left
592,left,left,left,left,left,left,left
593,center,right,right,right,right,right,right
594,right,right,right,right,right,right,right
595,left,center,center,center,center,center,center
596,left,center,center,center,center,center,center
597,center,center,center,center,center,center,center
598,left,left,left,left,left,left,left
599,right,left,left,left,left,left,left
600,center,left,left,left,left,left,left
601,center,left,left,left,left,left,left
602,right,uncertain,uncertain,center,center,center,uncertain
603,center,left,left,left,left,left,left
604,right,left,left,left,left,right,left
605,left,left,left,left,left,right,left
606,right,right,right,right,right,right,right
607,left,right,right,right,right,right,right
608,left,center,center,center,center,center,center
609,center,right,right,right,right,right,right
610,left,right,right,right,right,right,right
611,right,right,right,right,right,right,right
612,left,left,left,left,left,left,left
613,center,left,left,left,left,left,left
614,right,left,left,left,left,left,left
615,right,center,center,center,center,center,center
616,left,center,center,center,center,center,center
617,right,center,center,center,center,center,center
618,right,center,center,center,center,center,center
619,left,center,center,center,center,center,center
620,right,center,center,center,center,center,center
621,center,center,center,center,center,center,center
622,center,right,right,right,right,right,right
623,right,right,right,right,right,right,right
624,right,center,center,center,center,center,center
625,center,left,left,left,left,left,left
626,right,right,center,center,center,center,right
627,left,left,left,left,left,left,left
628,left,left,left,left,left,left,left
629,right,left,left,left,left,left,left
630,left,left,left,left,left,left,left
631,right,left,left,left,left,left,left
632,left,right,right,right,right,right,right
633,right,right,right,right,right,right,right
634,right,right,right,right,right,right,right
635,left,right,right,right,right,right,right
636,center,right,uncertain,center,center,center,center
637,right,right,right,right,right,right,right
638,left,left,left,left,left,left,left
639,right,left,left,left,left,left,left
640,right,right,right,right,right,right,right
641,center,right,right,right,right,right,right
642,left,right,right,right,right,right,right
643,center,left,left,left,left,left,left
644,left,left,left,left,left,left,left
645,right,right,right,right,right,right,right
646,left,center,center,center,center,center,center
647,right,center,center,center,center,center,center
648,left,left,left,left,left,left,left
649,left,right,right,right,left,right,right
650,center,right,right,right,right,right,right
651,center,center,center,center,center,center,center
652,left,center,center,center,center,center,center
653,right,center,center,center,center,center,center
654,right,right,right,right,right,right,right
655,center,left,left,left,left,left,left
656,left,left,left,left,left,left,left
657,right,right,right,right,right,right,right
658,left,left,uncertain,left,left,left,uncertain
659,right,right,right,right,right,right,right
660,center,right,right,right,right,right,right
661,left,right,right,right,right,right,right
662,left,center,center,center,center,center,center
663,right,center,center,center,center,center,center
664,center,center,center,center,center,center,center
665,right,center,center,center,center,center,center
666,right,left,left,left,left,left,left
667,center,right,right,right,right,right,right
668,left,left,left,left,left,left,left
669,center,right,center,center,center,center,center
670,right,center,center,center,center,center,center
671,left,left,left,left,left,left,right
672,right,left,left,left,left,left,left
673,right,right,right,right,right,right,right
674,center,right,right,right,right,right,right
675,left,right,right,right,left,left,right
676,center,right,right,right,center,right,right
677,right,right,right,right,right,right,right
678,left,right,right,right,right,right,right
679,right,right,right,right,right,right,right
680,left,right,right,right,right,right,right
681,left,right,uncertain,uncertain,uncertain,left,right
682,center,right,uncertain,right,uncertain,uncertain,uncertain
683,right,right,left,right,left,left,right
684,left,right,right,right,center,right,right
685,center,right,uncertain,right,right,right,right
686,right,right,right,right,right,right,right
687,right,right,right,right,right,right,right
688,left,left,right,left,left,left,left
689,left,left,left,left,left,left,left
690,right,right,right,right,right,right,right
691,center,left,left,left,left,left,left
692,left,right,right,right,right,right,right
693,center,right,right,right,right,right,right
694,right,right,right,right,right,right,right
695,right,right,right,right,right,right,right
696,center,right,right,right,right,right,right
