ID,correct,base_model,ble,3-shot,6-shot,12-shot,ds
146,center,center,center,center,center,center,center
147,left,left,left,left,left,left,left
148,right,right,right,right,right,right,right
149,left,center,center,center,center,center,center
150,right,right,right,right,center,right,right
151,center,center,center,center,center,center,center
152,center,left,left,left,left,left,left
153,right,right,right,right,right,right,right
154,center,center,center,center,center,center,center
155,right,right,right,right,right,right,right
156,left,center,center,center,center,center,center
157,center,center,center,center,center,center,center
158,right,center,center,center,center,center,center
159,right,center,center,center,center,center,center
160,left,center,center,center,center,center,center
161,center,center,center,center,center,center,center
162,right,center,center,center,center,center,center
163,left,left,left,left,left,left,left
164,left,center,center,center,center,center,center
165,center,center,center,center,center,center,center
166,right,right,right,right,right,right,right
167,right,right,right,right,right,right,right
168,left,left,left,left,left,left,left
169,left,center,center,center,center,center,center
170,center,center,center,center,center,center,center
171,right,uncertain,uncertain,uncertain,center,right,right
172,center,left,left,left,left,left,left
173,right,right,right,right,right,right,right
174,left,left,left,left,left,left,left
175,left,center,center,center,center,center,center
176,right,center,center,center,right,right,center
177,center,center,center,center,center,center,center
178,right,center,center,center,center,center,center
179,center,center,center,center,center,center,center
180,left,left,left,center,center,center,left
181,left,center,center,center,center,center,center
182,right,center,center,center,center,center,center
179,center,center,center,center,center,center,center
180,left,left,left,center,center,left,left
181,left,center,center,center,center,center,center
182,right,center,center,center,center,center,center
183,right,center,center,center,center,center,center
184,center,center,center,center,center,center,center
185,left,left,left,left,right,left,left
186,right,right,center,right,center,right,center
187,right,right,right,right,right,right,right
188,center,center,center,center,center,center,center
189,left,left,left,left,left,left,left
190,left,right,center,center,left,center,left
191,center,center,center,center,center,center,center
192,right,center,center,center,center,right,center
193,center,left,left,left,left,left,left
194,left,left,left,left,left,left,left
195,right,left,left,left,left,left,left
196,right,right,right,right,right,right,right
197,left,center,center,center,center,center,center
198,left,right,right,right,right,right,right
199,right,right,right,right,right,right,right
200,center,center,center,center,center,center,center
201,left,left,left,left,center,center,left
202,left,center,center,center,center,center,center
203,right,right,right,right,right,right,right
204,right,right,right,right,right,right,left
205,center,right,right,right,right,right,right
206,right,right,left,right,right,right,left
207,left,center,center,center,center,center,center
208,left,center,center,center,center,center,center
209,center,center,center,center,center,center,center
210,right,center,center,center,center,center,center
211,right,left,left,left,left,right,left
212,left,left,left,left,left,left,left
213,center,center,center,center,center,center,center
214,left,left,left,left,left,left,left
215,right,right,right,right,right,right,right
216,right,center,center,center,center,center,center
217,center,center,center,center,center,center,center
218,right,center,center,center,center,center,center
219,center,center,center,center,center,center,center
220,center,center,right,right,right,right,center
221,left,left,left,left,left,left,left
222,right,right,right,right,right,right,right
223,left,center,left,left,left,left,left
224,center,center,center,center,center,center,center
225,right,center,center,center,right,center,center
226,right,left,uncertain,center,center,uncertain,center
227,center,uncertain,center,center,center,center,center
228,left,left,left,left,left,left,left
229,right,right,right,right,right,right,right
230,left,left,left,left,left,left,left
231,right,right,right,right,right,right,right
232,center,center,center,center,center,center,center
233,left,left,left,left,left,left,left
234,left,center,center,center,center,center,center
235,center,center,center,left,left,center,center
236,right,center,center,center,center,center,center
237,left,center,center,center,center,center,center
238,right,right,right,right,right,right,right
239,right,left,left,left,left,left,left
240,left,left,center,left,left,left,left
241,right,center,center,center,center,center,center
242,center,center,center,center,center,center,center
243,center,center,center,center,center,center,center
244,right,center,center,center,center,center,center
245,center,center,center,center,center,center,center
246,left,center,center,right,right,right,center
247,right,center,center,center,right,right,center
248,right,right,right,right,right,right,right
249,left,center,right,right,right,right,center
250,right,center,center,center,center,center,center
251,center,left,left,left,center,center,left
252,left,center,center,center,center,center,center
253,left,left,left,left,left,left,left
254,right,right,right,right,right,right,right
255,center,center,center,center,center,center,center
256,left,left,left,left,left,left,left
257,right,center,left,left,center,center,center
258,right,center,center,center,center,center,center
259,center,center,center,center,center,center,center
260,right,right,right,right,right,right,right
261,left,center,center,center,center,center,center
262,center,center,center,center,center,center,center
263,right,center,center,center,center,center,center
264,center,center,center,center,center,center,center
265,left,center,center,center,center,center,center
266,center,center,center,center,center,center,center
267,left,left,left,left,left,left,left
268,right,right,right,right,right,right,right
269,right,center,center,center,center,center,center
270,left,center,center,center,center,center,center
271,left,center,center,center,center,center,center
272,right,center,center,center,center,center,center
273,center,center,center,center,center,center,center
274,left,center,center,center,center,center,center
275,center,center,center,center,center,center,center
276,right,right,right,right,right,right,right
277,right,right,right,right,right,right,right
278,left,center,center,center,center,center,center
279,center,center,center,center,center,center,center
280,right,center,right,right,right,right,right
281,left,left,center,left,center,left,left
282,center,center,center,center,center,center,center
283,right,center,center,center,right,right,center
284,right,center,center,center,center,center,center
285,center,center,center,center,center,center,center
286,left,right,right,right,right,right,right
287,left,left,left,left,left,left,left
288,right,right,right,right,right,right,right
289,left,center,center,center,center,center,center
290,right,right,right,right,right,right,right
291,left,left,left,left,left,left,left
292,center,center,center,center,center,center,center
293,right,left,right,center,center,left,left
294,left,center,center,left,center,center,left
295,left,left,left,left,left,left,left
296,center,center,center,center,center,center,center
297,right,right,right,right,right,right,right
298,right,center,center,right,right,right,center
299,left,center,center,center,center,center,center
1000,right,right,right,right,right,right,right
1001,right,center,center,center,center,center,center
1002,left,center,center,center,center,center,center
1003,left,left,left,left,left,left,left
1004,right,right,right,right,right,right,right
1005,center,center,center,left,center,left,left
1006,left,center,center,center,center,center,center
1007,center,center,center,center,center,center,center
1008,right,right,right,right,right,right,right
1009,left,center,center,center,center,center,center
1010,center,center,center,center,center,center,center
1011,center,center,center,center,center,center,center
1012,right,right,right,right,right,right,right
1013,left,center,center,center,center,center,center
1014,left,left,left,left,left,left,left
1015,right,right,right,right,right,right,right
1016,right,left,left,left,left,left,left
1017,right,right,right,right,right,right,right
1018,center,center,center,center,center,right,center
1019,right,right,right,right,right,right,right
1020,center,left,left,left,left,left,center
1021,left,left,left,left,left,left,left
1022,left,left,left,left,left,left,left
1023,left,center,center,center,center,center,left
1024,right,right,right,right,right,right,right
1025,center,center,center,center,center,center,center
1026,right,center,center,center,center,center,center
1027,left,center,center,center,center,center,center
1028,right,center,center,center,center,center,center
1029,left,center,center,center,center,center,center
1030,left,center,center,center,center,center,center
1031,center,center,center,center,center,center,center
1032,left,left,left,left,left,left,left
1033,left,center,center,center,center,center,center
1034,right,center,center,center,center,center,center
1035,right,right,right,right,right,right,left
1036,left,center,right,right,right,right,center
1037,left,center,center,center,center,center,center
1038,left,center,center,left,center,center,left
1039,left,center,center,center,center,center,center
1040,right,center,center,center,center,center,center
1041,right,right,center,right,right,right,right
1042,left,left,left,left,left,left,left
1043,right,center,center,center,center,center,center
1044,left,left,left,left,left,left,left
1045,center,center,center,center,center,center,center
1046,right,right,right,right,right,right,right
1047,left,left,left,left,left,left,left
1048,left,left,left,left,left,left,left
1049,center,center,center,center,center,left,center
1050,right,left,left,left,left,left,left
1051,right,center,center,center,center,center,center
1052,left,left,left,left,left,left,left
1053,center,center,center,center,center,center,center
1054,right,right,right,right,right,right,right
1055,center,center,center,center,center,center,center
1056,left,center,center,center,center,center,center
1057,right,center,center,center,center,center,center
1058,center,center,center,center,center,center,center
1059,left,center,center,center,center,center,center
1060,center,center,center,center,center,center,center
1061,right,center,center,center,center,center,center
1062,center,center,center,center,center,center,center
1063,right,center,center,center,center,center,center
1064,left,center,center,center,center,center,center
1065,left,left,left,left,left,left,left
1066,center,center,center,center,center,center,center
1067,right,right,right,right,right,right,right
1068,right,center,center,center,center,center,center
1069,left,center,center,center,center,center,center
1070,left,center,center,center,center,center,center
1071,right,right,right,right,right,right,right
1072,left,left,left,left,left,left,left
1073,left,left,left,left,left,left,left
1074,right,center,center,center,center,center,center
1075,center,center,center,center,center,center,center
1076,right,center,center,center,center,center,center
1077,left,left,left,left,left,left,left
1078,right,right,right,right,right,right,right
1079,left,left,left,center,left,left,center
1080,right,center,center,center,center,center,center
1081,center,center,center,center,center,center,center
1082,center,center,center,center,center,center,center
1083,left,center,center,center,center,center,center
1084,right,center,center,center,center,center,center
1085,right,right,right,right,right,right,right
1086,center,left,left,left,left,left,left
1087,left,right,right,right,right,right,right
1088,left,center,right,right,right,right,center
1089,right,right,right,right,right,right,right
1090,left,center,center,center,center,center,center
1091,center,center,center,center,center,center,center
1092,right,center,center,center,center,center,center
1093,right,left,center,center,center,left,left
1094,left,center,center,center,center,center,center
1095,right,left,left,left,left,left,left
1096,center,center,center,center,center,center,center
1097,right,right,center,center,center,center,center
1098,right,center,center,center,center,center,center
1099,center,center,center,center,center,center,center
1100,left,left,left,left,left,left,left
1101,right,right,right,right,right,right,right
1102,center,center,center,center,center,center,center
1103,left,center,center,center,center,center,center
1104,center,center,center,center,center,center,center
1105,right,center,right,right,right,right,center
1106,right,center,center,center,center,center,center
1107,center,center,center,center,center,center,center
1108,left,center,center,center,center,center,center
1109,right,right,right,right,right,right,right
1110,left,center,center,center,center,center,center
1111,center,center,center,center,center,center,center
1112,left,center,center,center,center,center,center
1113,right,right,right,right,right,right,right
1114,left,left,left,left,left,left,left
1115,center,center,center,center,center,center,center
1116,right,right,right,right,right,right,right
1117,center,uncertain,right,right,right,right,right
1118,right,right,right,right,right,right,right
1119,right,center,center,center,center,center,center
1120,left,center,center,center,center,center,center
1121,center,center,center,center,center,center,center
1122,center,center,center,center,center,center,center
1123,right,center,center,center,center,center,center
1124,left,right,right,right,right,right,right
1125,left,left,left,left,left,left,left
1126,left,left,left,uncertain,left,left,left
1127,right,center,center,center,center,center,center
1128,right,center,center,center,center,center,center
1129,left,center,center,center,center,center,center
1130,left,center,center,center,center,center,center
1131,right,center,center,center,center,center,center
1132,center,center,center,center,center,center,center
1133,center,center,center,center,center,center,center
1134,right,center,center,center,center,center,center
1135,right,center,center,center,center,center,center
1136,left,left,left,left,left,left,left
1137,right,right,right,right,right,right,right
1138,center,center,center,center,center,center,center
1139,left,left,left,left,left,left,left
1140,right,right,right,right,right,right,right
1141,center,center,center,center,center,left,center
1142,left,center,center,center,center,center,center
1143,left,center,center,center,center,center,center
1144,right,center,center,right,center,right,center
1145,right,center,center,center,right,right,center
1146,center,center,center,center,center,center,center
1147,left,left,left,left,left,left,left
1148,left,center,center,center,center,center,center
500,center,center,center,center,center,center,center
501,left,center,center,center,center,center,center
502,left,center,center,center,center,center,center
503,right,center,center,center,center,center,center
504,center,center,center,center,center,center,center
505,right,right,right,right,right,right,right
506,left,left,left,left,left,left,left
507,right,center,center,center,center,center,center
508,left,center,center,center,center,center,center
509,right,center,center,center,center,center,center
510,center,center,center,center,center,center,center
511,right,right,right,right,right,right,right
512,center,right,right,right,right,right,right
513,right,right,right,right,right,right,right
514,left,left,left,left,left,left,left
1149,right,center,center,center,center,center,center
1150,center,center,center,center,center,center,center
1151,right,right,right,right,right,right,right
1152,right,left,center,right,center,right,left
1153,left,center,center,center,center,center,center
1154,right,right,right,right,right,right,right
1155,left,center,center,center,center,center,center
1156,left,left,left,left,center,left,left
1157,right,center,center,center,center,center,center
1158,right,center,center,center,center,center,center
1159,left,center,center,center,center,center,center
1160,center,center,center,center,center,center,center
1161,left,center,center,center,center,center,center
1162,right,center,center,center,center,center,center
1163,left,center,center,center,center,center,center
1164,left,center,center,center,center,center,center
300,right,right,right,right,right,right,right
301,center,center,center,center,center,center,center
302,center,center,center,center,center,center,center
303,left,center,center,center,center,center,center
304,right,center,center,center,center,center,center
305,right,right,right,right,right,right,right
306,center,left,left,center,left,left,left
307,left,left,left,center,left,left,left
308,left,center,center,center,center,center,center
309,right,center,center,center,center,center,center
310,right,right,right,right,right,right,right
311,left,left,left,left,left,left,left
312,right,right,right,right,right,right,right
313,left,center,center,center,center,center,center
314,center,left,left,right,right,right,left
315,right,right,right,right,right,right,left
316,center,center,right,right,right,right,center
317,right,right,right,right,right,right,right
318,left,left,left,left,left,left,left
319,right,right,right,right,right,right,right
320,left,left,left,left,left,left,left
321,center,left,left,left,left,left,left
322,center,center,center,center,center,center,center
323,right,center,center,center,center,center,center
324,left,center,center,center,center,center,center
325,center,center,center,center,left,left,left
326,right,right,right,right,right,right,right
327,left,left,left,left,left,left,left
328,center,right,center,center,center,right,right
329,right,right,right,right,right,right,right
330,left,left,left,left,left,left,left
331,right,center,left,center,center,left,left
332,center,left,left,left,left,left,left
333,right,right,right,right,right,right,right
334,left,center,center,center,center,center,center
335,right,center,center,center,center,center,left
336,center,center,center,center,center,center,center
337,left,center,center,center,center,center,center
338,center,center,center,center,center,center,center
339,right,center,center,center,center,center,center
340,left,left,left,left,left,left,left
341,left,left,left,left,left,left,left
